PassengerID,Name,Age,State,City,Survived,InjuryType,BloodRequired,Abandoned,PhoneNumber
IND001,Priya Verma,44,West Bengal,Durgapur,Yes,Major,Yes,No,9865672739
IND002,Kavita Kumar,63,Karnataka,Bengaluru,No,Major,Yes,Yes,9815238011
IND003,Ramesh Yadav,43,West Bengal,Howrah,No,Minor,Yes,No,9810828279
IND004,Deepa Singh,28,Kerala,Kozhikode,Yes,Major,Yes,No,9862884003
IND005,Kavita Singh,44,Gujarat,Vadodara,No,Major,Yes,Yes,9881819054
IND006,Pooja Patel,62,Kerala,Thiruvananthapuram,No,Minor,No,No,9850724020
IND007,Kavita Yadav,21,Gujarat,Surat,No,Minor,Yes,Yes,9825233276
IND008,Deepa Singh,65,West Bengal,Howrah,Yes,Minor,No,Yes,9858062317
IND009,Sunil Yadav,69,Gujarat,Vadodara,No,Minor,Yes,No,9835852574
IND010,Anil Rao,65,Karnataka,Mysuru,No,Minor,No,No,9854261384
IND011,Deepa Patel,63,Uttar Pradesh,Varanasi,Yes,Minor,No,No,9836632033
IND012,Deepa Singh,61,Tamil Nadu,Madurai,No,Major,Yes,Yes,9833746224
IND013,Kavita Kumar,33,Delhi,Dwarka,Yes,Major,Yes,Yes,9860267325
IND014,Kavita Chatterjee,41,Kerala,Kochi,No,Minor,No,No,9816441401
IND015,Priya Kumar,35,Bihar,Patna,No,Major,Yes,No,9832148734
IND016,Anil Nair,41,Rajasthan,Jaipur,No,Minor,Yes,No,9866210904
IND017,Anil Chatterjee,41,Kerala,Kochi,No,Minor,Yes,Yes,9877428500
IND018,Deepa Yadav,59,Uttar Pradesh,Kanpur,Yes,Minor,Yes,No,9839221751
IND019,Neha Mehta,30,Bihar,Gaya,No,Minor,Yes,Yes,9855615701
IND020,Kavita Patel,29,Bihar,Patna,No,Minor,No,Yes,9861261595
IND021,Pooja Patel,19,Maharashtra,Mumbai,Yes,Major,Yes,No,9889250765
IND022,Neha Rao,55,Uttar Pradesh,Lucknow,No,Major,Yes,Yes,9837409768
IND023,Priya Sharma,32,Rajasthan,Udaipur,No,Minor,No,No,9841081095
IND024,Pooja Kumar,61,Uttar Pradesh,Varanasi,No,Minor,No,No,9844042859
IND025,Ramesh Yadav,66,Kerala,Thiruvananthapuram,Yes,Major,Yes,Yes,9821372720
IND026,Kavita Chatterjee,29,Delhi,Dwarka,Yes,Minor,No,No,9820770571
IND027,Neha Mehta,68,Kerala,Kozhikode,No,Minor,No,No,9863705826
IND028,Suresh Chatterjee,26,Kerala,Kochi,Yes,Major,Yes,Yes,9848740251
IND029,Anil Patel,69,West Bengal,Kolkata,No,Minor,Yes,Yes,9869919016
IND030,Ramesh Chatterjee,57,Karnataka,Bengaluru,No,Minor,Yes,No,9814648260
IND031,Neha Nair,51,Delhi,Rohini,Yes,Minor,No,Yes,9890773270
IND032,Kavita Rao,64,Delhi,Dwarka,Yes,Minor,Yes,Yes,9858596136
IND033,Suresh Verma,38,Maharashtra,Pune,Yes,Minor,Yes,No,9823613772
IND034,Sunil Nair,25,Karnataka,Hubli,Yes,Major,Yes,No,9894629158
IND035,Suresh Yadav,38,Gujarat,Ahmedabad,Yes,Minor,No,No,9856909697
IND036,Sunil Kumar,41,Uttar Pradesh,Kanpur,No,Minor,No,Yes,9810364776
IND037,Pooja Sharma,30,Delhi,Rohini,No,Minor,No,No,9816482798
IND038,Ramesh Nair,22,Bihar,Bhagalpur,Yes,Minor,No,Yes,9813947658
IND039,Pooja Verma,20,Karnataka,Bengaluru,No,Major,Yes,Yes,9817129220
IND040,Amit Yadav,62,Tamil Nadu,Coimbatore,Yes,Major,Yes,Yes,9818639737
IND041,Deepa Patel,70,Bihar,Patna,Yes,Minor,No,Yes,9844981385
IND042,Deepa Patel,59,Uttar Pradesh,Kanpur,Yes,Major,Yes,Yes,9878979297
